time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180824:1610,23160.0,157.12,109.94,5.71,20.35,28.14,2.83,0.0
20180824:1710,4344.0,23.33,50.14,2.24,9.53,27.31,2.34,0.0
20180824:1810,0.0,0.0,0.0,0.0,0.0,25.96,1.45,0.0
20180824:1910,0.0,0.0,0.0,0.0,0.0,25.99,1.45,0.0
20180824:2010,0.0,0.0,0.0,0.0,0.0,24.85,1.03,0.0
20180824:2110,0.0,0.0,0.0,0.0,0.0,23.99,0.83,0.0
20180824:2210,0.0,0.0,0.0,0.0,0.0,24.3,0.48,0.0
20180824:2310,0.0,0.0,0.0,0.0,0.0,23.8,0.76,0.0
20180825:0010,0.0,0.0,0.0,0.0,0.0,22.77,1.1,0.0
20180825:0110,0.0,0.0,0.0,0.0,0.0,22.4,0.97,0.0
20180825:0210,0.0,0.0,0.0,0.0,0.0,22.33,0.97,0.0
20180825:0310,0.0,0.0,0.0,0.0,0.0,21.88,1.66,0.0
20180825:0410,0.0,0.0,0.0,0.0,0.0,21.63,1.45,0.0
20180825:0510,1320.0,0.0,25.2,0.61,5.69,21.71,1.17,0.0
20180825:0610,3830.4,0.0,53.87,1.22,16.48,22.58,1.03,0.0
20180825:0710,33322.8,187.61,168.95,7.3,27.25,23.7,1.59,0.0
20180825:0810,31825.2,72.77,266.22,7.17,37.56,25.02,1.52,0.0
20180825:0910,11000.4,0.0,129.28,2.93,46.78,26.07,1.24,0.0
20180825:1010,71988.0,484.29,311.84,14.37,53.8,26.89,1.03,0.0
20180825:1110,46515.6,113.92,385.82,10.32,57.04,26.59,1.24,0.0
20180825:1210,68467.2,380.93,360.03,13.66,55.37,26.54,2.0,0.0
20180825:1310,56640.0,261.98,346.51,11.62,49.42,26.71,1.66,0.0
20180825:1410,17808.0,2.29,195.92,4.47,40.78,26.73,2.21,0.0
20180825:1510,22731.6,36.94,209.61,5.34,30.74,26.23,3.31,0.0
20180825:1610,23524.8,162.33,105.67,5.69,20.07,25.84,3.79,0.0
20180825:1710,4335.6,18.78,51.7,2.05,9.25,25.58,4.07,0.0
20180825:1810,0.0,0.0,0.0,0.0,0.0,25.25,3.52,0.0
20180825:1910,0.0,0.0,0.0,0.0,0.0,24.62,2.83,0.0
20180825:2010,0.0,0.0,0.0,0.0,0.0,24.13,2.9,0.0
20180825:2110,0.0,0.0,0.0,0.0,0.0,23.65,3.38,0.0
20180825:2210,0.0,0.0,0.0,0.0,0.0,23.26,4.62,0.0
20180825:2310,0.0,0.0,0.0,0.0,0.0,23.22,5.52,0.0
20180826:0010,0.0,0.0,0.0,0.0,0.0,23.02,5.45,0.0
20180826:0110,0.0,0.0,0.0,0.0,0.0,22.82,5.03,0.0
20180826:0210,0.0,0.0,0.0,0.0,0.0,22.68,4.21,0.0
20180826:0310,0.0,0.0,0.0,0.0,0.0,22.21,1.66,0.0
20180826:0410,0.0,0.0,0.0,0.0,0.0,21.25,1.45,0.0
20180826:0510,802.8,0.0,18.48,0.45,5.5,20.5,3.03,0.0
20180826:0610,11002.8,22.96,107.36,3.01,16.3,20.75,4.62,0.0
20180826:0710,25934.4,78.32,196.0,5.83,27.06,22.07,4.28,0.0
20180826:0810,42807.6,165.31,272.34,8.76,37.35,21.58,4.69,0.0
20180826:0910,79356.0,640.53,177.26,14.51,46.53,21.52,4.55,0.0
20180826:1010,86724.0,670.74,235.18,15.85,53.5,21.94,4.34,0.0
20180826:1110,68605.2,326.58,386.91,13.37,56.7,22.82,4.0,0.0
20180826:1210,50451.6,137.07,386.79,10.65,55.02,23.59,3.72,0.0
20180826:1310,22183.2,2.36,236.35,5.39,49.08,24.24,3.79,0.0
20180826:1410,26190.0,24.2,254.22,6.12,40.47,24.29,3.59,0.0
20180826:1510,22038.0,31.72,205.47,5.16,30.44,23.97,3.24,0.0
20180826:1610,19261.2,80.48,136.06,4.65,19.78,23.49,2.97,0.0
20180826:1710,4220.4,18.9,49.95,2.01,8.96,22.79,2.76,0.0
20180826:1810,0.0,0.0,0.0,0.0,0.0,21.92,2.55,0.0
20180826:1910,0.0,0.0,0.0,0.0,0.0,21.48,3.86,0.0
20180826:2010,0.0,0.0,0.0,0.0,0.0,20.54,3.59,0.0
20180826:2110,0.0,0.0,0.0,0.0,0.0,19.75,3.1,0.0
20180826:2210,0.0,0.0,0.0,0.0,0.0,19.04,2.62,0.0
20180826:2310,0.0,0.0,0.0,0.0,0.0,18.36,2.34,0.0
20180827:0010,0.0,0.0,0.0,0.0,0.0,17.6,2.07,0.0
20180827:0110,0.0,0.0,0.0,0.0,0.0,16.84,1.93,0.0
20180827:0210,0.0,0.0,0.0,0.0,0.0,16.33,1.86,0.0
20180827:0310,0.0,0.0,0.0,0.0,0.0,16.08,1.72,0.0
20180827:0410,0.0,0.0,0.0,0.0,0.0,15.87,1.59,0.0
20180827:0510,1508.4,0.0,26.88,0.65,5.32,15.59,1.59,0.0
20180827:0610,15632.4,116.45,75.94,4.63,16.12,16.92,1.45,0.0
20180827:0710,40017.6,301.61,119.41,8.35,26.87,20.44,1.79,0.0
20180827:0810,61872.0,500.18,146.01,11.85,37.14,21.84,2.0,0.0
20180827:0910,76524.0,652.0,171.53,14.53,46.29,23.14,1.52,0.0
20180827:1010,84578.4,753.35,190.07,16.32,53.21,24.28,0.9,0.0
20180827:1110,89637.6,815.28,188.61,17.19,56.36,25.22,1.38,0.0
20180827:1210,88980.0,793.81,186.15,16.79,54.67,25.91,2.28,0.0
20180827:1310,80814.0,679.6,191.18,15.1,48.74,26.21,2.97,0.0
20180827:1410,68295.6,564.27,158.39,12.8,40.15,26.18,3.31,0.0
20180827:1510,48214.8,371.13,136.87,9.47,30.15,25.84,3.52,0.0
20180827:1610,24298.8,180.85,96.36,5.79,19.49,25.14,3.59,0.0
20180827:1710,3828.0,24.27,43.99,2.11,8.67,24.32,3.31,0.0
