2025-08-18 17:58:53.395 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:08:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5725, WS=1.9319, P_predicted=0.0
2025-08-18 17:58:55.827 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:25.0, P_real=0.0
2025-08-18 17:58:58.346 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:30.0, P_real=0.0
2025-08-18 17:59:00.838 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:35.0, P_real=0.0
2025-08-18 17:59:03.356 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:40.0, P_real=0.0
2025-08-18 17:59:03.406 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:08:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.57, WS=1.9316, P_predicted=0.0
2025-08-18 17:59:05.840 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:45.0, P_real=0.0
2025-08-18 17:59:08.355 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:50.0, P_real=0.0
2025-08-18 17:59:10.859 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:08:55.0, P_real=0.0
2025-08-18 17:59:13.470 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:00.0, P_real=0.0
2025-08-18 17:59:13.511 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:09:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5675, WS=1.9312, P_predicted=0.0
2025-08-18 17:59:15.874 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:05.0, P_real=0.0
2025-08-18 17:59:18.393 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:10.0, P_real=0.0
2025-08-18 17:59:20.931 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:15.0, P_real=0.0
2025-08-18 17:59:23.414 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:20.0, P_real=0.0
